token,frequency
playstation xbox and pc,404
on playstation xbox and,197
rated m for mature,188
is available on steam,187
for playstation xbox and,173
rated t for teen,171
that came out in,168
is a third person,161
it was released in,160
it is available on,135
rated e for everyone,124
what is it about,118
a bird view perspective,117
available on playstation xbox,115
is rated m for,107
do you mean the,102
that was released in,102
available on steam is,101
is rated t for,94
xbox and pc it,94
not available on steam,93
are you talking about,93
a third person perspective,92
have you heard of,92
is not available on,91
on steam is a,90
game that was released,89
first and third person,89
is available on playstation,86
have you played any,85
have you ever played,85
game that came out,84
playstation xbox nintendo and,83
bird 's eye view,81
xbox nintendo and pc,81
and pc it is,79
linux or mac release,78
and is available on,78
it 's available on,77
you said that you,75
it came out in,75
it was developed by,75
is a first person,74
a third person action-adventure,74
it does n't have,72
on linux or mac,70
was developed by and,70
is rated e for,69
with a bird view,68
you talking about the,67
can be played on,66
you said earlier that,66
you can play it,66
xbox and pc and,65
on playstation xbox nintendo,65
m for mature is,64
xbox and pc but,62
is an action-adventure shooter,61
was released for playstation,60
for playstation xbox nintendo,59
a bird 's eye,58
released for playstation xbox,58
available on steam and,57
it can be played,57
does n't have a,57
no linux or mac,57
said earlier that you,56
does not have a,55
what do you think,55
from a bird view,54
for linux or mac,54
available on steam but,54
third person action-adventure shooter,54
linux or mac is,53
is an excellent action-adventure,52
can play it on,52
it is not available,52
you 're looking for,52
for everyone 10 and,52
game is available on,52
you can get it,51
everyone 10 and older,51
on steam is an,50
it was released for,50
it does not have,50
the third person perspective,50
playstation xbox nintendo switch,50
a first person perspective,49
nintendo switch and pc,48
playstation xbox pc and,48
have a linux or,47
a linux or mac,47
why do you think,47
if you 're looking,47
available for playstation xbox,46
you mentioned that you,46
e 10+ for everyone,46
10+ for everyone 10,46
have you played it,46
for the playstation xbox,46
you found to be,45
the bird view perspective,45
was released in 2014,45
e for everyone is,45
first person and third,45
person and third person,45
is a real-time strategy,44
get it on steam,44
be played on playstation,44
's available on steam,43
is an indie adventure,43
can get it on,42
but it is not,42
the playstation xbox and,42
available on steam it,42
t for teen is,42
and is rated m,41
it is available for,41
it is rated m,41
do you know of,41
and third person perspectives,40
with a third person,40
it is rated e,40
is it about the,39
are you familiar with,39
the first person perspective,39
on mac or linux,38
is a good action-adventure,38
game was released in,38
does n't have multiplayer,38
n't have a linux,38
xbox nintendo switch and,38
bird view perspective it,37
does not have multiplayer,37
you heard of it,37
developed by and released,37
are you a fan,37
game with a bird,36
a side view perspective,36
you liked do you,36
you said that was,36
you feel the same,36
an excellent third person,36
pc it is available,36
m for mature rating,35
third person perspective and,35
it 's not available,35
an m for mature,35
for mature is an,35
can be played in,35
on playstation xbox pc,35
the game is available,35
pc and is available,35
released on playstation xbox,35
do you think is,34
then you should try,34
game for playstation xbox,34
is available for playstation,34
it is rated t,34
you ever played a,34
third person action-adventure game,34
played from a bird,33
're looking for a,33
bird view perspective is,33
it runs on playstation,33
do you feel the,33
third person perspective is,33
played on playstation xbox,32
you 're talking about,32
that was developed by,32
first person or third,32
person or third person,32
rated e 10+ for,32
by and released in,32
you a fan of,32
you like to play,32
on playstation and pc,32
for playstation and pc,32
mac release is a,32
is a bird view,32
there is no multiplayer,32
developed by is a,32
that is available on,32
's not available on,31
and is rated t,31
that you found to,31
or mac release is,31
xbox and pc is,31
first or third person,31
and pc and is,31
expected to be released,31
m for mature it,30
not have a linux,30
pc but it is,30
multiplayer mode is a,30
's available on playstation,30
in the third person,30
to be released on,30
action-adventure third person shooter,30
on playstation and xbox,30
and pc and it,29
're talking about the,29
is a simulation strategy,29
available on playstation and,29
xbox and pc the,29
is also available on,29
a multiplayer mode is,29
that can be played,29
a first and third,29
found to be average,28
from a third person,28
and is rated e,28
it was released on,28
and pc the game,28
and pc but it,28
was released in 2015,28
is an excellent third,28
game for the playstation,28
also available on steam,28
and pc it 's,27
you think is the,27
i wonder if you,27
or mac is a,27
a simulation strategy game,27
that you liked do,27
games then you should,27
e for everyone and,27
third person perspective it,27
mac or linux is,27
you should try the,27
i remember you saying,26
t for teen and,26
with a side view,26
for mature is a,26
is a good game,26
's a third person,26
do you think that,26
such as do you,26
and third person perspective,26
and pc through steam,26
ever played a game,26
pc it is not,26
t for teen it,26
was released on playstation,26
runs on playstation xbox,26
play it on playstation,26
for teen is a,26
it on playstation xbox,25
's rated m for,25
for everyone is a,25
why is it that,25
third person perspective games,25
is an action-adventure game,25
released for the playstation,25
not available on linux,25
you can play on,25
excellent third person action-adventure,25
the game is rated,25
a real-time strategy game,25
is played from a,24
you told me that,24
game that is played,24
one of my favorite,24
on xbox and pc,24
game is not available,24
is a turn-based strategy,24
is not supported on,24
the game was released,24
has a bird view,24
came out in 2016,24
person perspective is a,24
is expected to be,24
though it does n't,24
was released in 2011,24
or mac is an,23
told me that you,23
have a mac release,23
you saying that you,23
it 's rated m,23
it 's a third,23
third person vehicular combat,23
an action-adventure shooter game,23
find it on steam,23
a mac release but,23
said that you liked,23
has no linux or,23
came out in 2015,23
a third person adventure,23
a good third person,23
it is not supported,23
that you can play,23
a t for teen,23
an indie adventure game,23
you know of any,23
you seem to be,23
and pc but not,23
nintendo and pc it,22
by it was released,22
a big fan of,22
first person shooter game,22
the side view perspective,22
a good action-adventure shooter,22
are you referring to,22
developed by the game,22
have a linux release,22
you ever heard of,22
