token,frequency
is a,1508
third person,875
is an,822
it is,806
available on,709
and pc,687
released in,682
playstation xbox,680
was released,620
on steam,580
xbox and,494
it 's,482
game that,450
on playstation,450
it was,427
is available,408
for playstation,390
the game,388
first person,383
game is,378
bird view,344
and is,320
developed by,320
is rated,312
a good,299
linux or,291
or mac,289
it has,285
if you,275
a third,274
you can,271
came out,267
an excellent,261
strategy game,257
game with,248
a multiplayer,246
out in,246
pc and,241
a bird,239
action-adventure shooter,238
for mature,233
shooter game,227
an action-adventure,223
m for,220
is not,205
game it,199
an average,194
pc it,189
for teen,189
for everyone,189
t for,188
person perspective,185
with a,182
steam is,181
adventure game,179
be played,177
rated m,176
that was,175
playstation and,174
released for,172
multiplayer mode,170
person shooter,169
no multiplayer,165
role-playing game,163
view perspective,162
was developed,161
released on,160
person action-adventure,159
and third,156
a first,155
simulation game,155
rated t,155
available for,154
can be,154
and it,153
not available,153
xbox nintendo,153
it does,150
has a,150
game for,150
an indie,150
rated e,149
and mac,149
for the,149
that is,147
on linux,146
mac release,145
multiplayer is,145
it on,143
does not,140
by is,138
pc but,135
real-time strategy,134
have a,132
and has,129
game from,128
by it,128
can play,128
e for,127
that came,126
for pc,126
but it,125
played in,124
game released,123
's a,123
the playstation,123
side view,123
action-adventure game,118
by and,117
linux and,114
mac is,114
this game,113
nintendo and,112
has no,112
a linux,110
there is,108
or linux,107
indie adventure,106
does n't,105
racing game,105
turn-based strategy,105
but not,104
in 2014,103
has multiplayer,102
not have,102
's available,100
on mac,99
average ratings,99
puzzle game,99
n't have,99
on pc,98
by the,98
you like,97
from a,96
no linux,96
is played,93
in the,92
play it,91
mac or,90
first and,90
a poor,90
for linux,89
game developed,88
steam and,87
perspective it,86
game was,85
game by,84
a single-player,84
's an,82
linux is,82
have multiplayer,81
played on,80
with multiplayer,79
not on,79
action-adventure role-playing,79
shooter that,78
shooter with,78
steam but,78
multiplayer it,78
linux release,78
game has,77
ratings is,77
person and,77
release is,76
steam it,76
mature is,75
multiplayer and,75
xbox pc,73
it came,73
perspective is,73
the third,73
a role-playing,73
tactical shooter,72
an adventure,72
it can,72
you should,72
has received,71
role-playing shooter,70
simulation strategy,70
try it,70
or third,70
on the,69
and xbox,69
played from,68
and was,68
mode is,68
perspective and,67
get it,67
by in,67
driving/racing game,67
pc is,67
can get,66
person view,66
a mac,66
nintendo switch,66
sport simulation,65
you 're,65
action-adventure platformer,65
as well,64
excellent action-adventure,64
good ratings,64
be released,64
sport racing,63
mac but,63
in 2015,63
sports game,63
a sport,62
is no,62
action-adventure puzzle,61
to be,61
has an,60
with no,60
vehicular combat,60
bird 's,60
's eye,59
through steam,59
text adventure,59
though it,58
a real-time,58
mac and,58
a side,58
view and,58
will be,57
in 2016,57
pc only,56
an action,56
e 10+,56
pc the,56
good action-adventure,55
should try,55
out on,55
person adventure,55
that has,54
shooter it,54
view it,53
mac it,53
music game,53
in 2011,53
trivia/board game,53
teen is,53
ratings it,52
for a,51
's not,51
in 2017,51
poor ratings,51
runs on,50
released by,50
was rated,50
everyone 10,50
10 and,50
the pc,50
's rated,49
you want,49
and linux,49
switch and,49
looking for,48
everyone is,48
a simulation,48
and older,48
and released,46
and you,46
with an,46
in 1999,46
adventure role-playing,46
in first,46
received average,45
in third,45
for mac,45
is also,45
it runs,44
for nintendo,44
the first,44
on xbox,44
10+ for,44
an m,43
a driving/racing,42
person perspectives,42
by for,42
average reviews,42
mac support,42
also available,42
rating it,41
in 2005,41
game and,41
with average,41
person or,41
in bird,41
supported on,41
pc through,41
sport game,41
you play,40
release but,40
game available,40
a tactical,40
you are,39
to play,39
but is,39
eye view,39
or pc,39
view is,39
in 2004,38
as a,38
expected to,38
then you,38
action and,38
game played,38
but does,38
and nintendo,38
there 's,38
adventure platformer,38
try the,37
in 2009,37
in 2010,37
excellent third,37
is it,37
platformer with,37
offers a,36
a game,36
was a,36
average rating,36
multiplayer support,36
reviews is,36
is on,36
well as,35
from the,35
game you,35
in a,35
2018 is,35
is expected,35
rating and,35
combat game,35
video game,35
but has,35
not supported,35
mature rating,34
and does,34
played multiplayer,34
driving simulation,34
and steam,34
both first,34
rating is,33
steam the,33
xbox or,33
check out,33
pc you,33
a t,33
that you,33
that can,33
and can,32
person driving/racing,32
games then,32
linux it,32
point-and-click adventure,32
linux but,32
for xbox,32
it will,32
multiplayer game,32
role-playing turn-based,32
platformer game,32
first or,32
not linux,32
a decent,31
excellent ratings,31
not released,31
game in,31
a turn-based,31
the bird,31
mature it,30
ratings and,30
're looking,30
pc with,30
indie game,30
has been,30
action game,30
in 1998,30
steam linux,29
adventure mmorpg,29
in 2014.,29
action shooter,29
shooter is,29
in 2013,29
an e,29
multiplayer if,29
and strategy,29
person it,29
only is,29
in 2012,29
indie point-and-click,29
person role-playing,28
game the,28
is n't,28
view platformer,28
be available,28
and a,28
adventure shooter,28
called it,28
game can,28
's no,28
playstation is,28
a sports,28
action-adventure third,28
in 2001,27
it received,27
teen and,27
play in,27
your friends,27
with good,27
and adventure,27
can not,27
game called,27
received excellent,27
game rated,27
mode it,26
also has,26
made by,26
steam or,26
2014. it,26
for an,26
single-player only,26
support is,26
2018 for,26
teen it,26
on september,26
player perspective,25
single-player action-adventure,25
person is,25
is only,25
but no,25
adventure hack-and-slash,25
in 2011.,25
platformer that,25
puzzle shooter,25
steam there,25
excellent reviews,25
of the,25
pc game,25
and received,25
not for,25
person game,24
driving/racing simulation,24
with your,24
in 2002,24
find it,24
everyone and,24
no mac,24
currently available,24
2011. it,24
the player,24
but there,24
is out,24
shooter developed,24
pc linux,24
puzzle platformer,24
play this,24
in 2007,24
is considered,23
game received,23
only available,23
and multiplayer,23
has good,23
has average,23
steam for,23
in 2018,23
indie trivia/board,23
2016. it,23
a poorly,23
in 2015.,23
indie driving,23
2014 is,22
strategy simulation,22
game does,22
platformer it,22
want to,22
racing simulation,22
only it,22
driving and,22
in 1994,22
was not,22
puzzle solving,22
multiplayer option,22
playstation only,22
good third,22
rating of,22
the developer,22
person sports,22
person point-and-click,22
the nintendo,22
driving/racing simulator,21
strategy with,21
steam though,21
release it,21
n't available,21
the action-adventure,21
received poor,21
2014 for,21
interested in,21
play on,21
in 1999.,21
features a,21
shooter released,21
only and,21
teen rating,21
2018. it,21
in 2010.,21
tactical strategy,21
hack-and-slash role-playing,21
play from,21
a text,21
games is,21
in 2016.,21
driving simulator,21
role-playing text,21
excellent indie,21
that offers,20
on nintendo,20
average action,20
from players,20
was made,20
but you,20
mac the,20
pc this,20
and rated,20
pc there,20
role-playing games,20
want a,20
playstation it,20
out for,20
game on,20
poorly rated,20
multiplayer the,20
nintendo pc,20
but unfortunately,20
exclusively for,20
and fighting,20
in 2000,20
fighting game,20
good adventure,20
point-and-click puzzle,20
hack-and-slash mmorpg,20
action-adventure first,20
release for,20
14 2018,20
good reviews,20
out it,19
set in,19
back in,19
suitable for,19
pinball puzzle,19
is for,19
game offers,19
simulation and,19
been released,19
hack-and-slash adventure,19
the indie,19
poor reviews,19
a playstation,19
nintendo consoles,19
adventure rpg,19
a poorly-rated,19
mature and,19
is supported,19
shooter from,19
however it,19
person action,19
point-and-click game,19
in 2013.,19
adventure puzzle,19
are looking,18
a driving,18
ca n't,18
in 2017.,18
2014 and,18
a 2014,18
does have,18
you might,18
the xbox,18
via steam,18
and role-playing,18
ratings from,18
in multiplayer,18
2016 and,18
and shooter,18
action-adventure rpg,18
and offers,18
offers multiplayer,18
average sport,18
a hack-and-slash,18
not be,18
games with,18
and the,18
mac if,18
esrb rating,18
unfortunately it,18
single-player game,17
simulator with,17
release on,17
linux support,17
steam if,17
you enjoy,17
received good,17
excellent game,17
games you,17
perspective the,17
multiplayer capabilities,17
is the,17
was an,17
action racing,17
action-adventure fighting,17
a strategy,17
shooter for,17
pc in,17
which is,17
indie tactical,17
a fun,17
it also,17
action strategy,16
received an,16
simulator that,16
by developer,16
you ca,16
